#word1	word2	SimLex999
old_JJ	new_JJ	1.58
smart_JJ	intelligent_JJ	9.2
hard_JJ	difficult_JJ	8.77
happy_JJ	cheerful_JJ	9.55
hard_JJ	easy_JJ	0.95
fast_JJ	rapid_JJ	8.75
happy_JJ	glad_JJ	9.17
short_JJ	long_JJ	1.23
stupid_JJ	dumb_JJ	9.58
weird_JJ	strange_JJ	8.93
wide_JJ	narrow_JJ	1.03
bad_JJ	awful_JJ	8.42
easy_JJ	difficult_JJ	0.58
bad_JJ	terrible_JJ	7.78
hard_JJ	simple_JJ	1.38
smart_JJ	dumb_JJ	0.55
insane_JJ	crazy_JJ	9.57
happy_JJ	mad_JJ	0.95
large_JJ	huge_JJ	9.47
hard_JJ	tough_JJ	8.05
new_JJ	fresh_JJ	6.83
sharp_JJ	dull_JJ	0.6
quick_JJ	rapid_JJ	9.7
dumb_JJ	foolish_JJ	6.67
wonderful_JJ	terrific_JJ	8.63
strange_JJ	odd_JJ	9.02
happy_JJ	angry_JJ	1.28
narrow_JJ	broad_JJ	1.18
simple_JJ	easy_JJ	9.4
old_JJ	fresh_JJ	0.87
apparent_JJ	obvious_JJ	8.47
inexpensive_JJ	cheap_JJ	8.72
nice_JJ	generous_JJ	5.0
weird_JJ	normal_JJ	0.72
weird_JJ	odd_JJ	9.2
bad_JJ	immoral_JJ	7.62
sad_JJ	funny_JJ	0.95
wonderful_JJ	great_JJ	8.05
guilty_JJ	ashamed_JJ	6.38
beautiful_JJ	wonderful_JJ	6.5
confident_JJ	sure_JJ	8.27
dumb_JJ	dense_JJ	7.27
large_JJ	big_JJ	9.55
nice_JJ	cruel_JJ	0.67
impatient_JJ	anxious_JJ	6.03
big_JJ	broad_JJ	6.73
strong_JJ	proud_JJ	3.17
unnecessary_JJ	necessary_JJ	0.63
restless_JJ	young_JJ	1.6
dumb_JJ	intelligent_JJ	0.75
bad_JJ	great_JJ	0.35
difficult_JJ	simple_JJ	0.87
necessary_JJ	important_JJ	7.37
bad_JJ	terrific_JJ	0.65
mad_JJ	glad_JJ	1.45
honest_JJ	guilty_JJ	1.18
easy_JJ	tough_JJ	0.52
easy_JJ	flexible_JJ	4.1
certain_JJ	sure_JJ	8.42
essential_JJ	necessary_JJ	8.97
different_JJ	normal_JJ	1.08
sly_JJ	clever_JJ	7.25
crucial_JJ	important_JJ	8.82
harsh_JJ	cruel_JJ	8.18
childish_JJ	foolish_JJ	5.5
scarce_JJ	rare_JJ	9.17
friendly_JJ	generous_JJ	5.9
fragile_JJ	frigid_JJ	2.38
long_JJ	narrow_JJ	3.57
big_JJ	heavy_JJ	6.18
rough_JJ	frigid_JJ	2.47
bizarre_JJ	strange_JJ	9.37
illegal_JJ	immoral_JJ	4.28
bad_JJ	guilty_JJ	4.2
modern_JJ	ancient_JJ	0.73
new_JJ	ancient_JJ	0.23
dull_JJ	funny_JJ	0.55
happy_JJ	young_JJ	2.0
easy_JJ	big_JJ	1.12
great_JJ	awful_JJ	1.17
tiny_JJ	huge_JJ	0.6
polite_JJ	proper_JJ	7.63
modest_JJ	ashamed_JJ	2.65
exotic_JJ	rare_JJ	8.05
dumb_JJ	clever_JJ	1.17
delightful_JJ	wonderful_JJ	8.65
noticeable_JJ	obvious_JJ	8.48
afraid_JJ	anxious_JJ	5.07
formal_JJ	proper_JJ	8.02
dreary_JJ	dull_JJ	8.25
delightful_JJ	cheerful_JJ	6.58
unhappy_JJ	mad_JJ	5.95
sad_JJ	terrible_JJ	5.4
sick_JJ	crazy_JJ	3.57
violent_JJ	angry_JJ	6.98
laden_JJ	heavy_JJ	5.9
dirty_JJ	cheap_JJ	1.6
elastic_JJ	flexible_JJ	7.78
hard_JJ	dense_JJ	5.9
recent_JJ	new_JJ	7.05
bold_JJ	proud_JJ	3.97
sly_JJ	strange_JJ	1.97
strange_JJ	sly_JJ	2.07
dumb_JJ	rare_JJ	0.48
sly_JJ	tough_JJ	0.58
terrific_JJ	mad_JJ	0.4
modest_JJ	flexible_JJ	0.98
fresh_JJ	wide_JJ	0.4
huge_JJ	dumb_JJ	0.48
large_JJ	flexible_JJ	0.48
dirty_JJ	narrow_JJ	0.3
