#word1	word2	SimLex999
wife_NN	husband_NN	2.3
book_NN	text_NN	6.35
groom_NN	bride_NN	3.17
night_NN	day_NN	1.88
south_NN	north_NN	2.2
plane_NN	airport_NN	3.65
uncle_NN	aunt_NN	5.5
horse_NN	mare_NN	8.33
bottom_NN	top_NN	0.7
friend_NN	buddy_NN	8.78
student_NN	pupil_NN	9.35
world_NN	globe_NN	6.67
leg_NN	arm_NN	2.88
plane_NN	jet_NN	8.1
woman_NN	man_NN	3.33
horse_NN	colt_NN	7.07
actress_NN	actor_NN	7.12
teacher_NN	instructor_NN	9.25
movie_NN	film_NN	8.87
bird_NN	hawk_NN	7.85
word_NN	dictionary_NN	3.68
money_NN	salary_NN	7.88
dog_NN	cat_NN	1.75
area_NN	region_NN	9.47
navy_NN	army_NN	6.43
book_NN	literature_NN	7.53
clothes_NN	closet_NN	3.27
sunset_NN	sunrise_NN	2.47
child_NN	adult_NN	2.98
cow_NN	cattle_NN	9.52
book_NN	story_NN	5.63
winter_NN	summer_NN	2.38
taxi_NN	cab_NN	9.2
tree_NN	maple_NN	5.53
bed_NN	bedroom_NN	3.4
roof_NN	ceiling_NN	7.58
disease_NN	infection_NN	7.15
arm_NN	shoulder_NN	4.85
sheep_NN	lamb_NN	8.42
lady_NN	gentleman_NN	3.42
boat_NN	anchor_NN	2.25
priest_NN	monk_NN	6.28
toe_NN	finger_NN	4.68
river_NN	stream_NN	7.3
anger_NN	fury_NN	8.73
date_NN	calendar_NN	4.42
sea_NN	ocean_NN	8.27
second_NN	minute_NN	4.62
hand_NN	thumb_NN	3.88
wood_NN	log_NN	7.3
mud_NN	dirt_NN	7.32
hallway_NN	corridor_NN	9.28
way_NN	manner_NN	7.62
mouse_NN	cat_NN	1.12
cop_NN	sheriff_NN	9.05
death_NN	burial_NN	4.93
music_NN	melody_NN	6.98
beer_NN	alcohol_NN	7.5
mouth_NN	lip_NN	7.1
storm_NN	hurricane_NN	6.38
tax_NN	income_NN	2.38
flower_NN	violet_NN	6.95
paper_NN	cardboard_NN	5.38
floor_NN	ceiling_NN	1.73
beach_NN	seashore_NN	8.33
rod_NN	curtain_NN	3.03
hound_NN	fox_NN	2.38
street_NN	alley_NN	5.48
boat_NN	deck_NN	4.28
car_NN	horn_NN	2.57
friend_NN	guest_NN	4.25
