#word1	word2	SimLex999
go_VB	come_VB	2.42
take_VB	steal_VB	6.18
listen_VB	hear_VB	8.17
think_VB	rationalize_VB	8.25
occur_VB	happen_VB	9.32
vanish_VB	disappear_VB	9.8
multiply_VB	divide_VB	1.75
plead_VB	beg_VB	9.08
begin_VB	originate_VB	8.2
protect_VB	defend_VB	9.13
kill_VB	destroy_VB	5.9
create_VB	make_VB	8.72
accept_VB	reject_VB	0.83
ignore_VB	avoid_VB	6.87
carry_VB	bring_VB	5.8
leave_VB	enter_VB	0.95
choose_VB	elect_VB	7.62
lose_VB	fail_VB	7.33
encourage_VB	discourage_VB	1.58
achieve_VB	accomplish_VB	8.57
make_VB	construct_VB	8.33
listen_VB	obey_VB	4.93
inform_VB	notify_VB	9.25
receive_VB	give_VB	1.47
borrow_VB	beg_VB	2.62
take_VB	obtain_VB	7.1
advise_VB	recommend_VB	8.1
imitate_VB	portray_VB	6.75
win_VB	succeed_VB	7.9
think_VB	decide_VB	5.13
greet_VB	meet_VB	6.17
agree_VB	argue_VB	0.77
enjoy_VB	entertain_VB	5.92
destroy_VB	make_VB	1.6
save_VB	protect_VB	6.58
give_VB	lend_VB	7.22
understand_VB	know_VB	7.47
take_VB	receive_VB	5.08
accept_VB	acknowledge_VB	6.88
decide_VB	choose_VB	8.87
accept_VB	believe_VB	6.75
keep_VB	possess_VB	8.27
roam_VB	wander_VB	8.83
succeed_VB	fail_VB	0.83
spend_VB	save_VB	0.55
leave_VB	go_VB	7.63
come_VB	attend_VB	8.1
know_VB	believe_VB	5.5
gather_VB	meet_VB	7.3
make_VB	earn_VB	7.62
forget_VB	ignore_VB	3.07
multiply_VB	add_VB	2.7
shrink_VB	grow_VB	0.23
arrive_VB	leave_VB	1.33
succeed_VB	try_VB	3.98
accept_VB	deny_VB	1.75
arrive_VB	come_VB	7.05
agree_VB	differ_VB	1.05
send_VB	receive_VB	1.08
win_VB	dominate_VB	5.68
add_VB	divide_VB	2.3
kill_VB	choke_VB	4.92
acquire_VB	get_VB	8.82
participate_VB	join_VB	7.7
leave_VB	remain_VB	2.53
go_VB	enter_VB	4.0
take_VB	carry_VB	5.23
forget_VB	learn_VB	1.18
appoint_VB	elect_VB	8.17
engage_VB	marry_VB	5.43
ask_VB	pray_VB	3.72
go_VB	send_VB	3.75
take_VB	deliver_VB	4.37
speak_VB	hear_VB	3.02
analyze_VB	evaluate_VB	8.03
argue_VB	rationalize_VB	4.2
lose_VB	keep_VB	1.05
compare_VB	analyze_VB	8.1
disorganize_VB	organize_VB	1.45
go_VB	allow_VB	3.62
take_VB	possess_VB	7.2
learn_VB	listen_VB	3.88
destroy_VB	construct_VB	0.92
create_VB	build_VB	8.48
steal_VB	buy_VB	1.13
kill_VB	hang_VB	4.45
forget_VB	know_VB	0.92
create_VB	imagine_VB	5.13
do_VB	happen_VB	4.23
win_VB	accomplish_VB	7.85
give_VB	deny_VB	1.43
deserve_VB	earn_VB	5.8
get_VB	put_VB	1.98
locate_VB	find_VB	8.73
appear_VB	attend_VB	6.28
know_VB	comprehend_VB	7.63
pretend_VB	imagine_VB	8.47
satisfy_VB	please_VB	7.67
cherish_VB	keep_VB	4.85
argue_VB	differ_VB	5.15
overcome_VB	dominate_VB	6.25
behave_VB	obey_VB	7.3
cooperate_VB	participate_VB	6.43
achieve_VB	try_VB	4.42
fail_VB	discourage_VB	3.33
begin_VB	quit_VB	1.28
say_VB	participate_VB	3.82
come_VB	bring_VB	2.42
declare_VB	announce_VB	9.08
read_VB	comprehend_VB	4.7
take_VB	leave_VB	2.47
proclaim_VB	announce_VB	8.18
acquire_VB	obtain_VB	8.57
conclude_VB	decide_VB	7.75
please_VB	plead_VB	2.98
argue_VB	prove_VB	4.83
ask_VB	plead_VB	6.47
find_VB	disappear_VB	0.77
inspect_VB	examine_VB	8.75
verify_VB	justify_VB	4.08
assume_VB	predict_VB	4.85
learn_VB	evaluate_VB	4.17
argue_VB	justify_VB	5.0
make_VB	become_VB	4.77
discover_VB	originate_VB	4.83
achieve_VB	succeed_VB	7.5
give_VB	put_VB	3.65
understand_VB	listen_VB	4.68
expand_VB	grow_VB	8.27
borrow_VB	sell_VB	1.73
keep_VB	protect_VB	5.4
explain_VB	prove_VB	4.1
assume_VB	pretend_VB	3.72
agree_VB	please_VB	4.13
forgive_VB	forget_VB	3.92
clarify_VB	explain_VB	8.33
understand_VB	forgive_VB	4.87
remind_VB	forget_VB	0.87
get_VB	remain_VB	1.6
realize_VB	discover_VB	7.47
require_VB	inquire_VB	1.82
ignore_VB	ask_VB	1.07
think_VB	inquire_VB	4.77
reject_VB	avoid_VB	4.78
argue_VB	persuade_VB	6.23
pursue_VB	persuade_VB	3.17
accept_VB	forgive_VB	3.73
do_VB	quit_VB	1.17
investigate_VB	examine_VB	8.1
discuss_VB	explain_VB	6.67
owe_VB	lend_VB	2.32
explore_VB	discover_VB	8.48
complain_VB	argue_VB	4.8
withdraw_VB	reject_VB	6.38
keep_VB	borrow_VB	2.25
beg_VB	ask_VB	6.0
arrange_VB	organize_VB	8.27
reduce_VB	shrink_VB	8.02
speak_VB	acknowledge_VB	4.67
give_VB	borrow_VB	2.22
kill_VB	defend_VB	2.63
disappear_VB	shrink_VB	5.8
deliver_VB	carry_VB	3.88
breathe_VB	choke_VB	1.37
acknowledge_VB	notify_VB	5.3
become_VB	seem_VB	2.63
pretend_VB	seem_VB	4.68
accomplish_VB	become_VB	4.0
contemplate_VB	think_VB	8.82
determine_VB	predict_VB	5.8
